月份,店铺订单合计,店铺金额合计,客单价,天海藏生鲜仓_订单,天海藏生鲜馆_订单,布斑迪母婴严选_订单,暖食杂货集_订单,潮流生活好物精选_订单,潮食优选好物_订单,生鲜厨房仓_订单,礼食量贩站_订单,社畜能量站_订单,臻选食礼馆_订单,天海藏生鲜仓_金额,天海藏生鲜馆_金额,布斑迪母婴严选_金额,暖食杂货集_金额,潮流生活好物精选_金额,潮食优选好物_金额,生鲜厨房仓_金额,礼食量贩站_金额,社畜能量站_金额,臻选食礼馆_金额
2026-03,11243,313982.8,27.93,4490,5,120,0,4393,0,0,1092,1041,102,147867.76,219.89,7275.24,0,101968.34,0,0,23560.65,29142.64,3948.28
2026-04,8108,262373.71,32.36,3042,107,169,0,2898,0,0,956,669,267,119213.67,5296.36,10745.63,0,70384.32,0,0,22701.52,20204.16,13828.05
2026-05,7141,211648.49,29.64,1023,0,44,108,3186,1480,389,485,376,50,41559.16,0,2100.2,2728.25,92044.95,42450.06,10736.4,9235.52,8870.98,1922.97
